SimulationID,NodeID,NodeType,EnergyConsumed
4,57,Benevolent Server,"58,00912"
4,58,Benevolent Server,"52,49137"
4,59,Benevolent Server,"61,92695"
4,60,Benevolent Server,"59,31858"
4,61,Benevolent Server,"50,53159"
4,62,Benevolent Server,"48,48314"
4,63,Benevolent Server,"70,87534"
4,64,Benevolent Server,"49,35765"
4,65,Benevolent Server,"26,34968"
4,66,Benevolent Server,"22,06033"
4,67,Benevolent Server,"34,79451"
4,68,Benevolent Server,"19,85136"
4,69,Benevolent Server,"21,69591"
4,70,Benevolent Server,"73,04400"
4,71,Relay/Other,"24,00573"
4,72,Relay/Other,"22,56535"
4,73,Relay/Other,"80,73896"
4,74,Relay/Other,"29,16047"
4,75,Relay/Other,"61,50418"
4,76,Relay/Other,"71,69011"
4,77,Relay/Other,"45,21999"
4,78,Relay/Other,"24,48737"
4,79,Relay/Other,"42,62686"
4,80,Relay/Other,"22,22004"
4,81,Relay/Other,"91,25669"
4,82,Relay/Other,"13,17590"
4,83,Relay/Other,"83,55702"
4,84,Relay/Other,"105,04241"
4,85,Relay/Other,"72,57039"
4,86,Relay/Other,"85,20869"
4,87,Relay/Other,"31,87526"
4,88,Relay/Other,"87,61888"
4,89,Relay/Other,"28,47951"
4,90,Relay/Other,"31,67359"
4,91,Relay/Other,"90,19207"
4,92,Relay/Other,"45,85483"
4,93,Relay/Other,"51,40640"
4,94,Relay/Other,"33,83182"
4,95,Relay/Other,"37,80847"
4,96,Relay/Other,"128,93851"
4,97,Relay/Other,"68,75827"
4,98,Relay/Other,"63,47290"
4,99,Relay/Other,"39,20367"
4,100,Relay/Other,"48,37036"
4,101,Relay/Other,"24,26517"
4,102,Relay/Other,"94,03432"
4,103,Relay/Other,"18,25389"
4,104,Relay/Other,"45,67914"
4,105,Relay/Other,"46,66395"
4,106,Relay/Other,"47,62865"
4,107,Relay/Other,"36,52009"
4,108,Relay/Other,"37,66122"
4,109,Relay/Other,"23,65171"
4,110,Relay/Other,"52,22500"
4,111,Relay/Other,"15,96650"
4,112,Relay/Other,"27,14097"
4,113,Relay/Other,"77,60022"
4,114,Relay/Other,"85,83175"
4,115,Relay/Other,"68,47171"
4,116,Relay/Other,"34,81802"
4,117,Relay/Other,"46,76583"
4,118,Relay/Other,"130,84323"
4,119,Relay/Other,"32,38128"
4,120,Relay/Other,"40,10856"
4,121,Relay/Other,"38,63985"
4,122,Relay/Other,"79,05742"
4,123,Relay/Other,"68,55442"
4,124,Relay/Other,"43,92167"
4,125,Relay/Other,"66,33152"
4,126,Relay/Other,"102,58589"
4,127,Relay/Other,"38,73378"
4,128,Relay/Other,"38,05123"
4,129,Relay/Other,"74,69041"
4,130,Relay/Other,"34,83104"
4,131,Relay/Other,"68,13406"
4,132,Relay/Other,"19,68879"
4,133,Relay/Other,"62,59162"
4,134,Relay/Other,"71,63551"
4,135,Relay/Other,"77,77940"
4,136,Relay/Other,"132,98033"
4,137,Relay/Other,"53,88985"
4,138,Relay/Other,"35,91884"
4,139,Relay/Other,"51,34899"
4,140,Relay/Other,"84,17587"
4,141,Relay/Other,"44,80583"
4,142,Relay/Other,"58,25524"
4,143,Relay/Other,"25,38158"
4,144,Relay/Other,"40,85157"
4,145,Relay/Other,"94,13374"
4,146,Relay/Other,"61,09496"
4,147,Relay/Other,"44,97407"
4,148,Relay/Other,"40,63320"
4,149,Relay/Other,"46,98227"
4,150,Relay/Other,"32,57435"
